locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFNKBEDD_01080	CDS	399	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
EFNKBEDD_01081	CDS	180				hypothetical protein
EFNKBEDD_01082	CDS	258				hypothetical protein
EFNKBEDD_01083	CDS	1146	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
EFNKBEDD_01084	CDS	762				hypothetical protein
EFNKBEDD_01085	CDS	1350	der_2			GTPase Der
EFNKBEDD_01086	CDS	570				hypothetical protein
EFNKBEDD_01087	CDS	1284				hypothetical protein
EFNKBEDD_01088	CDS	1392	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EFNKBEDD_01089	CDS	1014				hypothetical protein
EFNKBEDD_01090	CDS	573				hypothetical protein
EFNKBEDD_01091	CDS	975				hypothetical protein
EFNKBEDD_01092	CDS	912				hypothetical protein
EFNKBEDD_01093	CDS	309				hypothetical protein
EFNKBEDD_01094	CDS	618				hypothetical protein
EFNKBEDD_01095	CDS	690				hypothetical protein
EFNKBEDD_01096	CDS	3705				hypothetical protein
EFNKBEDD_01097	CDS	306				hypothetical protein
EFNKBEDD_01098	CDS	1179				hypothetical protein
EFNKBEDD_01099	CDS	591				hypothetical protein
EFNKBEDD_01100	CDS	558				IS630 family transposase ISAtsp7
EFNKBEDD_01101	CDS	399				hypothetical protein
EFNKBEDD_01102	CDS	1866	ftsH4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
EFNKBEDD_01103	CDS	813				hypothetical protein
EFNKBEDD_01104	CDS	2022	rssB_4			Regulator of RpoS
EFNKBEDD_01105	CDS	2727	rcsC_26	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01106	CDS	1146	rcsC_27	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01107	CDS	1404	rcsC_28	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01108	CDS	1518	cheB_2	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
EFNKBEDD_01109	CDS	1524	pknD_7	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_01110	CDS	390				hypothetical protein
EFNKBEDD_01111	CDS	384	dusB_1	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
EFNKBEDD_01112	CDS	708	dusB_2	1.3.1.-		tRNA-dihydrouridine synthase B
EFNKBEDD_01113	CDS	342		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
EFNKBEDD_01114	CDS	117				hypothetical protein
EFNKBEDD_01115	CDS	594	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
EFNKBEDD_01116	CDS	645	resA_1			Thiol-disulfide oxidoreductase ResA
EFNKBEDD_01117	CDS	705	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EFNKBEDD_01118	CDS	363	yybR		COG1733	putative HTH-type transcriptional regulator YybR
EFNKBEDD_01119	CDS	1587	spkB_3	2.7.11.1		Serine/threonine-protein kinase B
EFNKBEDD_01120	CDS	2385	mtgA_2	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
EFNKBEDD_01121	CDS	444				hypothetical protein
EFNKBEDD_01122	CDS	279				hypothetical protein
EFNKBEDD_01123	CDS	510				hypothetical protein
EFNKBEDD_01124	CDS	183				hypothetical protein
EFNKBEDD_01125	CDS	1599				hypothetical protein
EFNKBEDD_01126	CDS	648				hypothetical protein
EFNKBEDD_01127	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
EFNKBEDD_01128	CDS	1383	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
EFNKBEDD_01129	CDS	186				hypothetical protein
EFNKBEDD_01130	CDS	228				hypothetical protein
EFNKBEDD_01131	CDS	243				hypothetical protein
EFNKBEDD_01132	CDS	390				hypothetical protein
EFNKBEDD_01133	CDS	972	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
EFNKBEDD_01134	CDS	4113	rcsC_29	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01135	CDS	1443	rcsC_30	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01136	CDS	1821				hypothetical protein
EFNKBEDD_01137	CDS	771	sat_1	2.7.7.4		Sulfate adenylyltransferase
EFNKBEDD_01138	CDS	453	sat_2	2.7.7.4	COG2046	Sulfate adenylyltransferase
EFNKBEDD_01139	CDS	2310				hypothetical protein
EFNKBEDD_01140	CDS	1683	ycf3_4			Photosystem I assembly protein Ycf3
EFNKBEDD_01141	CDS	723				hypothetical protein
EFNKBEDD_01142	CDS	1305		3.4.21.-		putative CtpA-like serine protease
EFNKBEDD_01143	CDS	570				hypothetical protein
EFNKBEDD_01144	CDS	498				hypothetical protein
EFNKBEDD_01145	CDS	1635	pgm	5.4.2.2	COG0033	Phosphoglucomutase
EFNKBEDD_01146	CDS	378				hypothetical protein
EFNKBEDD_01147	CDS	999	tal_2	2.2.1.2	COG0176	Transaldolase
EFNKBEDD_01148	CDS	876	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EFNKBEDD_01149	CDS	792				hypothetical protein
EFNKBEDD_01150	CDS	918	hetR	3.4.21.-		Heterocyst differentiation control protein
EFNKBEDD_01151	CDS	1839				hypothetical protein
EFNKBEDD_01152	CDS	723				hypothetical protein
EFNKBEDD_01153	CDS	1047				hypothetical protein
EFNKBEDD_01154	CDS	1272				hypothetical protein
EFNKBEDD_01155	CDS	711	cobIJ		COG1010	Cobalamin biosynthesis protein CobIJ
EFNKBEDD_01156	CDS	309				hypothetical protein
EFNKBEDD_01157	CDS	1833	pknD_8	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_01158	CDS	2268		1.-.-.-	COG0243	putative oxidoreductase
EFNKBEDD_01159	CDS	753	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
EFNKBEDD_01160	CDS	1458	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
EFNKBEDD_01161	CDS	888			COG1073	putative protein
EFNKBEDD_01162	CDS	1245	bspRIM	2.1.1.37		Modification methylase BspRI
EFNKBEDD_01163	CDS	351				hypothetical protein
EFNKBEDD_01164	CDS	690				hypothetical protein
EFNKBEDD_01165	CDS	858	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
EFNKBEDD_01166	CDS	693	tpiA	5.3.1.1		Triosephosphate isomerase
EFNKBEDD_01167	CDS	258				putative glutaredoxin
EFNKBEDD_01168	CDS	201				hypothetical protein
EFNKBEDD_01169	CDS	237				hypothetical protein
EFNKBEDD_01170	tRNA	74				tRNA-Lys(ctt)
EFNKBEDD_01171	tRNA	77				tRNA-Leu(tag)
EFNKBEDD_01172	CDS	1440				hypothetical protein
EFNKBEDD_01173	CDS	585				hypothetical protein
EFNKBEDD_01174	CDS	564				hypothetical protein
EFNKBEDD_01175	CDS	243				hypothetical protein
EFNKBEDD_01176	CDS	1008				hypothetical protein
EFNKBEDD_01177	CDS	849				hypothetical protein
EFNKBEDD_01178	CDS	426				hypothetical protein
EFNKBEDD_01179	CDS	879				hypothetical protein
EFNKBEDD_01180	CDS	1836	rcsC_31	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01181	CDS	939				hypothetical protein
EFNKBEDD_01182	tRNA	90				tRNA-Ser(tga)
EFNKBEDD_01183	CDS	279				hypothetical protein
EFNKBEDD_01184	CDS	399				hypothetical protein
EFNKBEDD_01185	CDS	261				hypothetical protein
EFNKBEDD_01186	CDS	1233	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
EFNKBEDD_01187	CDS	240	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
EFNKBEDD_01188	CDS	654	ycf3_5			Photosystem I assembly protein Ycf3
EFNKBEDD_01189	CDS	1200				hypothetical protein
EFNKBEDD_01190	CDS	138				hypothetical protein
EFNKBEDD_01191	CDS	384	rssB_5			Regulator of RpoS
EFNKBEDD_01192	CDS	1404	rssB_6			Regulator of RpoS
EFNKBEDD_01193	CDS	3162	rcsC_32	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01194	CDS	675	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
EFNKBEDD_01195	CDS	390	mgsA	4.2.3.3		Methylglyoxal synthase
EFNKBEDD_01196	CDS	924	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EFNKBEDD_01197	CDS	1974				hypothetical protein
EFNKBEDD_01198	CDS	1746				hypothetical protein
EFNKBEDD_01199	CDS	1902	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
EFNKBEDD_01200	CDS	1491		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
EFNKBEDD_01201	CDS	846				hypothetical protein
EFNKBEDD_01202	CDS	783	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
EFNKBEDD_01203	CDS	1413				hypothetical protein
EFNKBEDD_01204	CDS	297				hypothetical protein
EFNKBEDD_01205	CDS	630				hypothetical protein
EFNKBEDD_01206	CDS	504	mshD_2	2.3.1.189		Mycothiol acetyltransferase
EFNKBEDD_01207	CDS	1407	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
EFNKBEDD_01208	CDS	924	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
EFNKBEDD_01209	CDS	765	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EFNKBEDD_01210	CDS	1578		3.4.24.-	COG0612	putative zinc protease
EFNKBEDD_01211	CDS	159				hypothetical protein
EFNKBEDD_01212	CDS	1329				hypothetical protein
EFNKBEDD_01213	CDS	561	tolR_1			Tol-Pal system protein TolR
EFNKBEDD_01214	CDS	534				hypothetical protein
EFNKBEDD_01215	CDS	996	sigA2_2		COG0568	RNA polymerase sigma factor SigA2
EFNKBEDD_01216	CDS	1110	walK_1	2.7.13.3		Sensor histidine kinase WalK
EFNKBEDD_01217	CDS	3147				hypothetical protein
EFNKBEDD_01218	CDS	1698				hypothetical protein
EFNKBEDD_01219	CDS	726	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
EFNKBEDD_01220	CDS	330				Ycf54-like protein
EFNKBEDD_01221	CDS	657				hypothetical protein
EFNKBEDD_01222	CDS	435				hypothetical protein
EFNKBEDD_01223	CDS	1200				hypothetical protein
EFNKBEDD_01224	CDS	1671				hypothetical protein
EFNKBEDD_01225	CDS	1923				hypothetical protein
EFNKBEDD_01226	CDS	1158	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
EFNKBEDD_01227	CDS	1608	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
EFNKBEDD_01228	CDS	156				hypothetical protein
EFNKBEDD_01229	CDS	747	mamM			Magnetosome protein MamM
EFNKBEDD_01230	CDS	348				hypothetical protein
EFNKBEDD_01231	CDS	414	ziaR			Transcriptional repressor SmtB 
EFNKBEDD_01232	CDS	165	smtA			Metallothionein
EFNKBEDD_01233	CDS	630				hypothetical protein
EFNKBEDD_01234	CDS	1113				hypothetical protein
EFNKBEDD_01235	CDS	909				hypothetical protein
EFNKBEDD_01236	CDS	819				hypothetical protein
EFNKBEDD_01237	CDS	432				hypothetical protein
EFNKBEDD_01238	CDS	558				IS630 family transposase ISAtsp7
EFNKBEDD_01239	CDS	438				hypothetical protein
EFNKBEDD_01240	CDS	702	tolQ_1			Tol-Pal system protein TolQ
EFNKBEDD_01241	CDS	303				hypothetical protein
EFNKBEDD_01242	CDS	360	ecfA3_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA3
EFNKBEDD_01243	CDS	405	cbiO	3.6.3.-	COG1122	Cobalt import ATP-binding protein CbiO
EFNKBEDD_01244	CDS	816				hypothetical protein
EFNKBEDD_01245	CDS	897				hypothetical protein
EFNKBEDD_01246	CDS	585				hypothetical protein
EFNKBEDD_01247	CDS	621	yfcG_2	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EFNKBEDD_01248	CDS	606				hypothetical protein
EFNKBEDD_01249	CDS	1041	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EFNKBEDD_01250	CDS	543				hypothetical protein
EFNKBEDD_01251	CDS	930				hypothetical protein
EFNKBEDD_01252	CDS	942				hypothetical protein
EFNKBEDD_01253	CDS	615				hypothetical protein
EFNKBEDD_01254	CDS	1053	desA_1	1.14.19.6		Delta(12)-fatty-acid desaturase
EFNKBEDD_01255	CDS	1056	desA_2	1.14.19.6		Delta(12)-fatty-acid desaturase
EFNKBEDD_01256	CDS	843				hypothetical protein
EFNKBEDD_01257	CDS	300	fdx4		COG3411	Ferredoxin, 2Fe-2S
EFNKBEDD_01258	CDS	1977				hypothetical protein
EFNKBEDD_01259	CDS	975	cbs_1	4.2.1.22	COG0031	Putative cystathionine beta-synthase
EFNKBEDD_01260	CDS	639		1.11.1.15	COG0450	Peroxiredoxin
EFNKBEDD_01261	CDS	312				hypothetical protein
EFNKBEDD_01262	CDS	1743	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
EFNKBEDD_01263	CDS	426	psaD			Photosystem I reaction center subunit II
EFNKBEDD_01264	CDS	1677				hypothetical protein
EFNKBEDD_01265	CDS	927				hypothetical protein
EFNKBEDD_01266	CDS	915				hypothetical protein
EFNKBEDD_01267	CDS	327				hypothetical protein
EFNKBEDD_01268	CDS	336				hypothetical protein
EFNKBEDD_01269	CDS	1407				hypothetical protein
EFNKBEDD_01270	CDS	423				hypothetical protein
EFNKBEDD_01271	CDS	387				hypothetical protein
EFNKBEDD_01272	CDS	1137	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
EFNKBEDD_01273	CDS	390	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
EFNKBEDD_01274	CDS	342				hypothetical protein
EFNKBEDD_01275	CDS	1131	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
EFNKBEDD_01276	CDS	477				hypothetical protein
EFNKBEDD_01277	CDS	846	ribBA_1	3.5.4.25		Riboflavin biosynthesis protein RibBA
EFNKBEDD_01278	CDS	192				hypothetical protein
EFNKBEDD_01279	CDS	408				hypothetical protein
EFNKBEDD_01280	CDS	828				hypothetical protein
EFNKBEDD_01281	CDS	1359	ilvB1	2.2.1.6	COG0028	Acetolactate synthase large subunit IlvB1
EFNKBEDD_01282	CDS	507	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
EFNKBEDD_01283	CDS	420				hypothetical protein
EFNKBEDD_01284	CDS	1014	dnaJ_3		COG0484	Chaperone protein DnaJ
EFNKBEDD_01285	CDS	492				hypothetical protein
EFNKBEDD_01286	CDS	1305	glgC	2.7.7.27		Glucose-1-phosphate adenylyltransferase
EFNKBEDD_01287	CDS	882				hypothetical protein
EFNKBEDD_01288	CDS	1011				hypothetical protein
EFNKBEDD_01289	CDS	3459	sasA_10	2.7.-.-		Adaptive-response sensory-kinase SasA
EFNKBEDD_01290	CDS	1353	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
EFNKBEDD_01291	CDS	546				hypothetical protein
EFNKBEDD_01292	CDS	333				hypothetical protein
EFNKBEDD_01293	CDS	1323	rcsC_33	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01294	CDS	999	cheB_3	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
EFNKBEDD_01295	CDS	2469	rcsC_34	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01296	CDS	1242	PSK	2.7.1.47	COG1070	D-ribulose kinase
EFNKBEDD_01297	CDS	2625	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
EFNKBEDD_01298	CDS	810				hypothetical protein
EFNKBEDD_01299	CDS	258				hypothetical protein
EFNKBEDD_01300	CDS	402		3.1.-.-	COG3742	Ribonuclease VapC30
EFNKBEDD_01301	CDS	282				hypothetical protein
EFNKBEDD_01302	CDS	504				hypothetical protein
EFNKBEDD_01303	CDS	399				hypothetical protein
EFNKBEDD_01304	CDS	558				IS630 family transposase ISAtsp7
EFNKBEDD_01305	CDS	2172				hypothetical protein
EFNKBEDD_01306	CDS	300				hypothetical protein
EFNKBEDD_01307	CDS	4959				hypothetical protein
EFNKBEDD_01308	CDS	678				hypothetical protein
EFNKBEDD_01309	CDS	5217				hypothetical protein
EFNKBEDD_01310	CDS	603				hypothetical protein
EFNKBEDD_01311	CDS	10779				hypothetical protein
EFNKBEDD_01312	CDS	687				hypothetical protein
EFNKBEDD_01313	CDS	1698	besA	6.3.2.-		L-propargylglycine--L-glutamate ligase
EFNKBEDD_01314	CDS	2502	rcsC_35	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01315	CDS	324				hypothetical protein
EFNKBEDD_01316	CDS	684				hypothetical protein
EFNKBEDD_01317	CDS	1368				hypothetical protein
EFNKBEDD_01318	CDS	693				hypothetical protein
EFNKBEDD_01319	CDS	1161	iscS_3	2.8.1.7	COG1104	Cysteine desulfurase IscS
EFNKBEDD_01320	CDS	2253				hypothetical protein
EFNKBEDD_01321	CDS	864				hypothetical protein
EFNKBEDD_01322	CDS	3519				hypothetical protein
EFNKBEDD_01323	CDS	864				hypothetical protein
EFNKBEDD_01324	CDS	279				hypothetical protein
EFNKBEDD_01325	CDS	261				hypothetical protein
EFNKBEDD_01326	CDS	648				hypothetical protein
EFNKBEDD_01327	CDS	960	neoA	1.1.1.329		2-deoxy-scyllo-inosamine dehydrogenase
EFNKBEDD_01328	CDS	441				hypothetical protein
EFNKBEDD_01329	CDS	462				hypothetical protein
EFNKBEDD_01330	CDS	2244	cpoB_1			Cell division coordinator CpoB
EFNKBEDD_01331	CDS	765	pepA_1	3.4.11.10		cytosol aminopeptidase
EFNKBEDD_01332	CDS	636	pepA_2	3.4.11.1	COG0260	Cytosol aminopeptidase
EFNKBEDD_01333	CDS	1113	recF_2			DNA replication and repair protein RecF
EFNKBEDD_01334	CDS	657				hypothetical protein
EFNKBEDD_01335	CDS	3198	mdtB_3			Multidrug resistance protein MdtB
EFNKBEDD_01336	CDS	1506	mdtA_3			Multidrug resistance protein MdtA
EFNKBEDD_01337	CDS	1071				hypothetical protein
EFNKBEDD_01338	CDS	1509	pknD_9	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_01339	CDS	1524	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
EFNKBEDD_01340	CDS	711				hypothetical protein
EFNKBEDD_01341	CDS	1122				hypothetical protein
EFNKBEDD_01342	CDS	315				hypothetical protein
EFNKBEDD_01343	CDS	378				hypothetical protein
EFNKBEDD_01344	CDS	894				hypothetical protein
EFNKBEDD_01345	CDS	609	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
EFNKBEDD_01346	CDS	4590				hypothetical protein
EFNKBEDD_01347	CDS	555				hypothetical protein
EFNKBEDD_01348	CDS	291	dxr_1	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
EFNKBEDD_01349	CDS	939	dxr_2	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
EFNKBEDD_01350	CDS	399				hypothetical protein
EFNKBEDD_01351	CDS	558				IS630 family transposase ISAtsp7
EFNKBEDD_01352	CDS	1713				hypothetical protein
EFNKBEDD_01353	CDS	978	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
EFNKBEDD_01354	CDS	3213	rcsC_36	2.7.13.3		Sensor histidine kinase RcsC
EFNKBEDD_01355	CDS	2337	pknD_10	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_01356	CDS	822				hypothetical protein
EFNKBEDD_01357	CDS	471				hypothetical protein
EFNKBEDD_01358	CDS	102	petL			Cytochrome b6-f complex subunit 6
EFNKBEDD_01359	CDS	1134	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
EFNKBEDD_01360	CDS	150				hypothetical protein
EFNKBEDD_01361	CDS	1224				hypothetical protein
EFNKBEDD_01362	CDS	321				hypothetical protein
EFNKBEDD_01363	CDS	297				hypothetical protein
EFNKBEDD_01364	CDS	633	upp_1	2.4.2.9		Uracil phosphoribosyltransferase
EFNKBEDD_01365	CDS	930				hypothetical protein
EFNKBEDD_01366	CDS	1152				hypothetical protein
EFNKBEDD_01367	tRNA	72				tRNA-Thr(cgt)
EFNKBEDD_01368	tRNA	72				tRNA-Lys(ttt)
EFNKBEDD_01369	CDS	234				hypothetical protein
EFNKBEDD_01370	CDS	309				hypothetical protein
EFNKBEDD_01371	CDS	1482				hypothetical protein
EFNKBEDD_01372	CDS	936				hypothetical protein
EFNKBEDD_01373	CDS	429	merR1			Mercuric resistance operon regulatory protein
EFNKBEDD_01374	CDS	2757	smc_3			Chromosome partition protein Smc
EFNKBEDD_01375	CDS	882				hypothetical protein
EFNKBEDD_01376	CDS	2379	pcrA_1	3.6.4.12		ATP-dependent DNA helicase PcrA
EFNKBEDD_01377	CDS	831				hypothetical protein
EFNKBEDD_01378	CDS	405		3.1.2.28	COG0824	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
EFNKBEDD_01379	CDS	1335				hypothetical protein
EFNKBEDD_01380	CDS	1611	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
EFNKBEDD_01381	CDS	453				hypothetical protein
EFNKBEDD_01382	CDS	369			COG3385	IS4 family transposase ISAsp3
EFNKBEDD_01383	rRNA	2888				23S ribosomal RNA
EFNKBEDD_01384	tRNA	76				tRNA-Ile(gat)
EFNKBEDD_01385	rRNA	1483				16S ribosomal RNA
EFNKBEDD_01386	CDS	864	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
EFNKBEDD_01387	CDS	1758	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
EFNKBEDD_01388	CDS	771				hypothetical protein
EFNKBEDD_01389	CDS	168				hypothetical protein
EFNKBEDD_01390	CDS	3576				hypothetical protein
EFNKBEDD_01391	CDS	1185				hypothetical protein
EFNKBEDD_01392	CDS	915				hypothetical protein
EFNKBEDD_01393	CDS	237	ftsH2_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
EFNKBEDD_01394	CDS	1611	ftsH2_3	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
EFNKBEDD_01395	tRNA	76				tRNA-Arg(tct)
EFNKBEDD_01396	CDS	909				hypothetical protein
EFNKBEDD_01397	CDS	693				hypothetical protein
EFNKBEDD_01398	CDS	720				hypothetical protein
EFNKBEDD_01399	CDS	210				hypothetical protein
EFNKBEDD_01400	CDS	633	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EFNKBEDD_01401	CDS	4476				hypothetical protein
EFNKBEDD_01402	CDS	1344				hypothetical protein
EFNKBEDD_01403	CDS	873				hypothetical protein
EFNKBEDD_01404	CDS	168				hypothetical protein
EFNKBEDD_01405	CDS	615	cpcS_1	4.-.-.-		Phycocyanobilin lyase subunit CpcS
EFNKBEDD_01406	CDS	2550	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
EFNKBEDD_01407	CDS	3162				hypothetical protein
EFNKBEDD_01408	CDS	1641				hypothetical protein
EFNKBEDD_01409	CDS	333				hypothetical protein
EFNKBEDD_01410	CDS	531				hypothetical protein
EFNKBEDD_01411	CDS	1320	proP			Proline/betaine transporter
EFNKBEDD_01412	CDS	1098	bepA_4	3.4.-.-		Beta-barrel assembly-enhancing protease
EFNKBEDD_01413	CDS	297				hypothetical protein
EFNKBEDD_01414	CDS	297	psb28			Photosystem II reaction center Psb28 protein
EFNKBEDD_01415	CDS	252				hypothetical protein
EFNKBEDD_01416	CDS	558				IS630 family transposase ISAtsp7
EFNKBEDD_01417	CDS	102				hypothetical protein
EFNKBEDD_01418	CDS	195				hypothetical protein
EFNKBEDD_01419	CDS	249				IS701 family transposase ISNpu6
EFNKBEDD_01420	CDS	2043	ligA	6.5.1.2		DNA ligase
EFNKBEDD_01421	CDS	387				hypothetical protein
EFNKBEDD_01422	CDS	213				hypothetical protein
EFNKBEDD_01423	CDS	258				hypothetical protein
EFNKBEDD_01424	CDS	942				hypothetical protein
EFNKBEDD_01425	CDS	204				hypothetical protein
EFNKBEDD_01426	CDS	744				hypothetical protein
EFNKBEDD_01427	CDS	669				hypothetical protein
EFNKBEDD_01428	CDS	183				hypothetical protein
EFNKBEDD_01429	CDS	2004	tkt	2.2.1.1	COG0021	Transketolase
EFNKBEDD_01430	CDS	1260	fabF_1	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
EFNKBEDD_01431	CDS	246	acpP		COG0236	Acyl carrier protein
EFNKBEDD_01432	CDS	993	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
EFNKBEDD_01433	CDS	900	mnmC_1	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
EFNKBEDD_01434	CDS	858	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
EFNKBEDD_01435	CDS	516				hypothetical protein
EFNKBEDD_01436	CDS	2340				hypothetical protein
EFNKBEDD_01437	CDS	1098			COG3385	IS4 family transposase ISSysp2
EFNKBEDD_01438	CDS	3123	pknD_11	2.7.11.1		Serine/threonine-protein kinase PknD
EFNKBEDD_01439	CDS	1635	cpoB_2			Cell division coordinator CpoB
EFNKBEDD_01440	CDS	1473				hypothetical protein
EFNKBEDD_01441	CDS	765	pipB2_3		COG1357	Secreted effector protein PipB2
EFNKBEDD_01442	CDS	945	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EFNKBEDD_01443	CDS	207				hypothetical protein
EFNKBEDD_01444	CDS	903				hypothetical protein
EFNKBEDD_01445	CDS	759				hypothetical protein
EFNKBEDD_01446	CDS	204				hypothetical protein
EFNKBEDD_01447	CDS	447				hypothetical protein
EFNKBEDD_01448	CDS	780				hypothetical protein
EFNKBEDD_01449	CDS	564				hypothetical protein
EFNKBEDD_01450	CDS	1680				hypothetical protein
EFNKBEDD_01451	CDS	1401				hypothetical protein
EFNKBEDD_01452	CDS	561				hypothetical protein
EFNKBEDD_01453	CDS	1551				hypothetical protein
EFNKBEDD_01454	CDS	141				hypothetical protein
EFNKBEDD_01455	CDS	99				hypothetical protein
EFNKBEDD_01456	CDS	1326		3.4.24.-	COG0612	putative zinc protease
EFNKBEDD_01457	CDS	867		2.7.1.-	COG3001	putative ketoamine kinase
EFNKBEDD_01458	CDS	402				hypothetical protein
EFNKBEDD_01459	CDS	162				hypothetical protein
EFNKBEDD_01460	CDS	669				hypothetical protein
EFNKBEDD_01461	CDS	405	recF_3			DNA replication and repair protein RecF
EFNKBEDD_01462	CDS	717				hypothetical protein
EFNKBEDD_01463	CDS	1512				hypothetical protein
EFNKBEDD_01464	CDS	2115				hypothetical protein
EFNKBEDD_01465	CDS	306				hypothetical protein
EFNKBEDD_01466	CDS	1179	opuAA	7.6.2.9	COG4175	Glycine betaine transport ATP-binding protein OpuAA
EFNKBEDD_01467	CDS	969	ousW		COG4176	Glycine betaine/choline transport system permease protein OusW
EFNKBEDD_01468	CDS	1266				hypothetical protein
EFNKBEDD_01469	CDS	276				hypothetical protein
EFNKBEDD_01470	CDS	198				hypothetical protein
EFNKBEDD_01471	CDS	639				hypothetical protein
EFNKBEDD_01472	CDS	447				hypothetical protein
EFNKBEDD_01473	CDS	1698	rqcH		COG1293	Rqc2 RqcH
EFNKBEDD_01474	CDS	951				hypothetical protein
